"id","name","team_id","birthday","nationality","position","minutes_played","goal_scored","assists"
365,"Harry Arter",216,"1989-12-28","Republic of Ireland","Midfielder",2008,0,1
366,"Kenneth Dahrup Zohorè",216,"1994-01-31","Denmark","Forward",746,1,1
367,"Isaac Hayden",215,"1995-03-22","England","Midfielder",1886,1,4
368,"Jacob Murphy",215,"1995-02-24","England","Midfielder",300,0,1
369,"Federico Fernández",215,"1989-02-21","Argentina","Defender",1484,0,1
370,"Carlos Sánchez",213,"1986-02-06","Colombia","Midfielder",240,0,0
371,"Lucas Perez",213,"1988-09-10","Spain","Forward",468,3,0
372,"Aaron Cresswell",213,"1989-12-15","England","Defender",1645,0,1
373,"Kurt Zouma",206,"1994-10-27","France","Defender",2610,2,2
374,"Ademola Lookman",206,"1997-10-20","England","Forward",601,0,2
375,"Jonjoe Kenny",206,"1997-03-15","England","Defender",790,0,1
376,"Shane Long",208,"1987-01-22","Republic of Ireland","Forward",1269,5,1
377,"Maya Yoshida",208,"1988-08-24","Japan","Defender",1520,0,1
378,"Matt Targett",208,"1995-09-18","England","Defender",1185,1,3
379,"Nampalys Mendy",204,"1992-06-23","France","Midfielder",2088,0,0
380,"Adama Traoré Diarra",220,"1996-01-25","Spain","Midfielder",890,1,1
381,"Kieran Trippier",202,"1990-09-19","England","Defender",2278,1,3
382,"Erik Lamela",202,"1992-03-04","Argentina","Midfielder",971,4,2
383,"Harry Winks",202,"1996-02-02","England","Midfielder",1591,1,0
384,"Danny Rose",202,"1990-07-02","England","Defender",1806,0,3
385,"André-Frank Zambo Anguissa",217,"1995-11-16","Cameroon","Midfielder",1518,0,0
386,"Mateo Kovačić",212,"1994-05-06","Croatia","Midfielder",1743,0,2
387,"Nacho Monreal",201,"1986-02-26","Spain","Defender",1861,1,3
388,"Danny Welbeck",201,"1990-11-26","England","Forward",147,1,1
389,"David Silva",203,"1986-01-08","Spain","Midfielder",2411,6,8
390,"Abdelhamid Sabiri",219,"1996-11-28","Morocco","Midfielder",49,0,0
391,"Isaac Mbenza",219,"1996-03-08","Belgium","Forward",981,1,1
392,"Daniel Williams",219,"1989-03-08","USA","Midfielder",93,0,0
393,"Kevin Long",207,"1990-08-18","Republic of Ireland","Defender",513,0,1
394,"Martín Montoya",218,"1991-04-14","Spain","Defender",2166,0,1
395,"Jesse Lingard",210,"1992-12-15","England","Midfielder",1668,4,2
396,"Ander Herrera",210,"1989-08-14","Spain","Midfielder",1404,2,3
397,"Max Meyer",205,"1995-09-18","Germany","Midfielder",1414,1,2
398,"Jordan Ayew",205,"1991-09-11","Ghana","Forward",1186,1,2
399,"Alberto Moreno",211,"1992-07-05","Spain","Defender",155,0,0
400,"Simon Mignolet",211,"1988-03-06","Belgium","Goalkeeper",0,0,0
401,"Joel Matip",211,"1991-08-08","Cameroon","Defender",1532,1,0
402,"Fabian Delph",203,"1989-11-21","England","Midfielder",725,0,1
403,"Arijanet Muric",203,"1998-11-07","Montenegro","Goalkeeper",0,0,0
404,"Jefferson Lerma",209,"1994-10-25","Colombia","Midfielder",2511,2,0
405,"Bernard Anício Caldeira Duarte",206,"1992-09-08","Brazil","Midfielder",2128,1,3
406,"Kieran Dowell",206,"1997-10-10","England","Midfielder",0,0,0
407,"Steven Davis",208,"1985-01-01","Northern Ireland","Midfielder",96,0,1
408,"Shinji Okazaki",204,"1986-04-16","Japan","Forward",269,0,1
409,"Markus Suttner",218,"1987-04-16","Austria","Defender",0,0,0
410,"Sullay Kaikai",205,"1995-08-26","England","Midfielder",0,0,0
411,"Marcus Bettinelli",217,"1992-05-24","England","Goalkeeper",630,0,0
412,"Denis Odoi",217,"1988-05-27","Belgium","Defender",2593,0,1
413,"Jamie Sterry",215,"1995-11-21","England","Defender",0,0,0
414,"Sean Longstaff",215,"1997-10-30","England","Midfielder",688,1,0
415,"Antonio Valencia",210,"1985-08-04","Ecuador","Defender",466,0,0
416,"Phil Jones",210,"1992-02-21","England","Defender",1263,0,1
417,"Nemanja Matić",210,"1988-08-01","Serbia","Midfielder",2441,1,0
418,"Alfie Mawson",217,"1994-01-19","England","Defender",1131,0,0
419,"Diego Rico",209,"1993-02-23","Spain","Defender",607,0,0
420,"Jason Puncheon",219,"1986-06-26","England","Midfielder",391,0,0
421,"Tyias Browning",206,"1994-05-27","England","Defender",0,0,0
422,"Elias Kachunga",219,"1992-04-22","Congo DR","Forward",1181,0,0
423,"Erik Durm",219,"1992-05-12","Germany","Defender",2051,0,1
424,"Ryan Schofield",219,"1999-12-11","England","Goalkeeper",0,0,0
425,"Kadeem Harris",216,"1993-06-08","England","Midfielder",366,1,0
426,"Brian Murphy",216,"1983-05-07","Republic of Ireland","Goalkeeper",0,0,0
427,"Dwight McNeil",207,"1999-11-22","England","Forward",1599,3,4
428,"Matěj Vydra",207,"1992-05-01","Czech Republic","Forward",311,1,1
429,"Nathaniel Chalobah",214,"1994-12-12","England","Midfielder",266,0,0
430,"Victor Wanyama",202,"1991-06-25","Kenya","Midfielder",509,1,0
431,"Paulo Dino Gazzaniga",202,"1992-01-02","Argentina","Goalkeeper",270,0,0
432,"Danny Drinkwater",212,"1990-03-05","England","Midfielder",0,0,0
433,"Oleksandr Zinchenko",203,"1996-12-15","Ukraine","Midfielder",1153,0,3
434,"Floyd Ayité",217,"1988-12-15","Togo","Midfielder",465,1,0
435,"Junior Stanislas",209,"1989-11-26","England","Midfielder",1027,2,3
436,"Sergio Germán Romero",210,"1987-02-22","Argentina","Goalkeeper",0,0,0
437,"Florin Andone",218,"1993-04-11","Romania","Forward",874,3,0
438,"Alfie Whiteman",202,"1998-10-02","England","Goalkeeper",0,0,0
439,"Gary Cahill",212,"1985-12-19","England","Defender",22,0,0
440,"Cesc Fabregas",212,"1987-05-04","Spain","Midfielder",175,0,0
441,"Grady Diangana",213,"1998-04-19","England","Midfielder",604,0,1
442,"Sead Kolašinac",201,"1993-06-20","Bosnia and Herzegovina","Defender",1891,0,5
443,"Marc Navarro Ceciliano",214,"1995-07-02","Spain","Defender",84,0,0
444,"Tim Ream",217,"1987-10-05","USA","Defender",2051,0,0
445,"Danilo",203,"1991-07-15","Brazil","Defender",806,1,0
446,"Jose Izquierdo",218,"1992-07-07","Colombia","Forward",794,0,1
447,"Ivan Ricardo Neves Abreu Cavaleiro",220,"1993-10-18","Portugal","Forward",682,3,1
448,"Steven Defour",207,"1988-04-15","Belgium","Midfielder",452,0,0
449,"Oliver Skipp",202,"2000-09-16","England","Midfielder",216,0,0
450,"Aron Einar Gunnarsson",216,"1989-04-22","Iceland","Midfielder",2274,1,1
451,"Gerard Deulofeu",214,"1994-03-13","Spain","Forward",2082,10,5
452,"Zeze Steven Sessegnon",217,"2000-05-18","England","Defender",0,0,0
453,"Damián Emiliano Martínez",201,"1992-09-02","Argentina","Goalkeeper",0,0,0
454,"Dejan Lovren",211,"1989-07-05","Croatia","Defender",985,1,0
455,"Loïc Damour",216,"1991-01-08","France","Midfielder",21,0,0
456,"Ben Wilmot",214,"1999-11-04","England","Defender",26,0,0
457,"Domingos Quina",214,"1999-11-18","Portugal","Midfielder",335,1,0
458,"Juninho Bacuna",219,"1997-08-07","Netherlands","Midfielder",1414,1,0
459,"Divock Origi",211,"1995-04-18","Belgium","Forward",366,3,1
460,"André Filipe Tavares Gomes",206,"1993-07-30","Portugal","Midfielder",1986,1,1
461,"Yerry Fernando Mina González",206,"1994-09-23","Colombia","Defender",890,1,0
462,"Connor Wickham",205,"1993-03-31","England","Forward",61,0,1
463,"Emile Smith Rowe",201,"2000-07-28","England","Midfielder",0,0,0
464,"Zechariah Medley",201,"2000-07-07","England","Defender",0,0,0
465,"Caglar Söyüncü",204,"1996-05-23","Turkey","Defender",371,0,0
466,"Jason Steele",218,"1990-08-18","England","Goalkeeper",0,0,0
467,"Leander Dendoncker",220,"1995-04-15","Belgium","Midfielder",1469,2,0
468,"Matthew Connolly",216,"1987-09-24","England","Defender",0,0,0
469,"Stefano Okaka",214,"1989-08-09","Italy","Forward",22,0,0
470,"Collin Quaner",219,"1991-06-18","Germany","Forward",37,0,0
471,"Joe Powell",213,"1998-10-30","England","Forward",0,0,0
472,"Conor Coventry",213,"2000-03-25","Republic of Ireland","Midfielder",0,0,0
473,"Robbie Brady",207,"1992-01-14","Republic of Ireland","Midfielder",715,0,1
474,"Faustino Marcos Alberto Rojo",210,"1990-03-20","Argentina","Defender",211,0,0
475,"Danny Simpson",204,"1987-01-04","England","Defender",291,0,0
476,"Fousseni Diabaté",204,"1995-10-18","Mali","Midfielder",55,0,0
477,"Juan Marcos Foyth",202,"1998-01-12","Argentina","Defender",930,1,0
478,"Michael Obafemi",208,"2000-07-06","Republic of Ireland","Forward",134,1,1
479,"Viktor Gyökeres",218,"1998-06-04","Sweden","Forward",0,0,0
480,"Marc Pugh",209,"1987-04-02","England","Midfielder",0,0,0
481,"Edward Nketiah",201,"1999-05-30","England","Forward",62,1,0
482,"Andy Carroll",213,"1989-01-06","England","Forward",454,0,0
483,"Freddie Woodman",215,"1997-03-04","England","Goalkeeper",0,0,0
484,"Ryan Giles",220,"2000-01-26","England","Midfielder",0,0,0
485,"Jack Simpson",209,"1996-12-18","England","Defender",403,0,0
486,"Yann Valery",208,"1999-02-22","France","Defender",1715,2,1
487,"José Diogo Dalot Teixeira",210,"1999-03-18","Portugal","Defender",1015,0,2
488,"Rafael Euclides Soares Camacho",211,"2000-05-22","Portugal","Midfielder",0,0,0
489,"Josh Knight",204,"1997-09-07","England","Defender",0,0,0
490,"Laurent Koscielny",201,"1985-09-10","France","Defender",1328,3,0
491,"Ben White",218,"1997-10-08","England","Defender",0,0,0
492,"Emerson Palmieri dos Santos",212,"1994-08-03","Italy","Defender",660,0,0
493,"Hamza Choudhury",204,"1997-10-01","England","Midfielder",596,0,0
494,"Georges-Kevin N'Koudou Mbida",202,"1995-02-13","France","Forward",4,0,1
495,"Julián Speroni",205,"1979-05-18","Argentina","Goalkeeper",90,0,0
496,"Scott Dann",205,"1987-02-14","England","Defender",660,0,1
497,"Timothy Eyoma",202,"2000-01-29","England","Defender",0,0,0
498,"Tom Cleverley",214,"1989-08-12","England","Midfielder",470,1,0
499,"Alexandre Nascimento Costa Silva",213,"1997-03-16","Portugal","Forward",17,0,0
500,"Tyreke Johnson",208,"1998-11-03","England","Defender",0,0,0
501,"Bakayo Sako",201,"1970-01-01","England","Midfielder",7,0,0
502,"Ali Koiki",207,"2000-08-22","England","Defender",0,0,0
503,"Kayne Ramsey",208,"2000-10-10","England","Midfielder",90,0,0
504,"Max Kilman",220,"1997-05-23","England","Defender",0,0,0
505,"Angel Gomes",210,"2000-08-31","England","Midfielder",25,0,0
506,"Joseph Willock",201,"1999-08-20","England","Midfielder",64,0,0
507,"Callum Hudson-Odoi",212,"2000-11-07","England","Midfielder",391,0,1
508,"Miguel Ángel Britos Cabrera",214,"1985-07-17","Uruguay","Defender",185,0,0
509,"Ethan Ampadu",212,"2000-09-14","Wales","Midfielder",0,0,0
510,"Callum Slattery",208,"1999-02-08","England","Midfielder",110,0,0
511,"Samir Nasri",213,"1987-06-26","France","Midfielder",246,0,2
512,"Florian Lejeune",215,"1991-05-20","France","Defender",1055,0,0
513,"Max Harrison Sanders",218,"1999-01-04","England","Midfielder",0,0,0
514,"Rhys Healey",216,"1994-12-06","England","Forward",49,0,0
515,"Harvey Lewis Barnes",204,"1997-12-09","England","Midfielder",1007,1,2
516,"Sam Gallagher",208,"1995-09-15","England","Forward",30,0,0
517,"Joshua Sims",208,"1997-03-28","England","Midfielder",209,0,1
518,"Joe Daniel Tupper",205,"1997-11-15","England","Goalkeeper",0,0,0
519,"Callum Roberts",215,"1997-04-14","England","Forward",0,0,0
520,"Ryan Guno Babel",217,"1986-12-19","Netherlands","Forward",1260,5,3
521,"Kazaiah Sterling",202,"1998-11-09","England","Forward",0,0,0
522,"Carl Jenkinson",201,"1992-02-08","England","Defender",166,0,0
523,"Konstantinos Mavropanos",201,"1997-12-11","Greece","Defender",150,0,0
524,"Dan Burn",218,"1992-05-09","England","Defender",0,0,0
525,"James McCarthy",206,"1990-11-12","Republic of Ireland","Midfielder",14,0,0
526,"Josh Benson",207,"1999-12-05","England","Midfielder",0,0,0
527,"Chris Mepham",209,"1997-11-05","Wales","Defender",849,0,1
528,"Dominic Solanke",209,"1997-09-14","England","Forward",341,0,1
529,"Gonzalo Higuain",212,"1987-12-10","Argentina","Forward",1092,5,0
530,"Antonio Barreca",215,"1995-03-18","Italy","Defender",4,0,0
531,"Adalberto Peñaranda Maestre",214,"1997-05-31","Venezuela","Forward",0,0,0
532,"Peter Crouch",207,"1981-01-30","England","Forward",86,0,0
533,"Alfie Jones",208,"1997-10-07","England","Defender",0,0,0
534,"Karlan Ahearne-Grant",219,"1997-12-19","England","Forward",874,3,0
535,"Michy Batshuayi",205,"1993-10-02","Belgium","Forward",756,5,0
536,"Bakary Sako",205,"1988-04-26","Mali","Midfielder",25,0,0
537,"Cameron John",220,"1999-08-24","England","Defender",0,0,0
538,"Leandro Bacuna",216,"1991-08-21","Curaçao","Midfielder",554,0,0
539,"Denis Suárez",201,"1994-01-06","Spain","Midfielder",67,0,0
540,"Curtis Jones",211,"2001-01-30","England","Midfielder",0,0,0
541,"Joel Coleman",219,"1995-09-26","England","Goalkeeper",90,0,0
542,"Kyle Taylor",209,"1999-08-28","England","Midfielder",0,0,0
543,"Sam Surridge",209,"1998-07-28","England","Forward",11,0,0
544,"Youri Tielemans",204,"1997-05-07","Belgium","Midfielder",1092,3,4
545,"Miguel Ángel Almirón Rejala",215,"1994-02-10","Paraguay","Midfielder",763,0,0
546,"Manuel Lanzini",213,"1993-02-15","Argentina","Midfielder",688,1,1
547,"Håvard Nordtveit",217,"1990-06-21","Norway","Midfielder",361,0,1
548,"Lazar Marković",217,"1994-03-02","Serbia","Midfielder",44,0,0
549,"Demeaco Duhaney",219,"1998-10-13","England","Defender",46,0,0
550,"James Garner",210,"2001-03-13","England","Defender",0,0,0
551,"Tahith Chong",210,"1999-12-04","Netherlands","Forward",36,0,0
552,"Philippe Sandler",203,"1997-02-10","Netherlands","Defender",0,0,0
553,"Benjamin Johnson",213,"2000-01-24","England","Forward",63,0,0
554,"Matty Daly",219,"2001-03-10","England","Midfielder",73,0,0
555,"Will Norris",220,"1993-08-12","England","Goalkeeper",0,0,0
556,"Aaron Rowe",219,"2000-09-07","England","Forward",69,0,0
557,"Mason Greenwood",210,"2001-10-01","England","Midfielder",115,0,0
558,"Sam Woods",205,"1998-09-11","England","Defender",0,0,0
559,"George Marsh",202,"1998-11-05","England","Midfielder",0,0,0
560,"Harvey Elliot",217,"1970-01-01","England","Forward",18,0,0
561,"Nathan Holland",213,"1998-06-19","England","Midfielder",0,0,0
562,"Vincent Janssen",202,"1994-06-15","Netherlands","Forward",36,0,0
563,"Emerson Hyndman",209,"1996-04-09","USA","Midfielder",37,0,0
564,"Nnamdi Ofoborh",209,"1999-11-07","England","Midfielder",0,0,0
565,"Fraser Forster",208,"1988-03-17","England","Goalkeeper",90,0,0
566,"Alex Oxlade-Chamberlain",211,"1993-08-15","England","Midfielder",19,0,0
567,"Anthony Driscoll-Glennon",207,"1999-11-26","England","Defender",0,0,0
568,"Mark Travers",209,"1999-05-18","Republic of Ireland","Goalkeeper",180,0,0
569,"Jayson Molumby",218,"1999-08-06","Republic of Ireland","Midfielder",0,0,0
570,"Luke Dreher",205,"1998-11-27","England","Midfielder",0,0,0
571,"Nikola Tavares",205,"1999-01-17","England","Defender",0,0,0
572,"Matt Butcher",209,"1997-05-14","England","Midfielder",0,0,0
573,"Luca de la Torre",217,"1998-05-23","USA","Midfielder",0,0,0
574,"Lewis Cass",215,"2000-02-27","England","Defender",0,0,0
575,"Kelland Watts",215,"1999-11-03","England","Midfielder",0,0,0
576,"Marc Guehi",212,"2000-07-13","England","Defender",0,0,0
